nama_media,jenis_media,penanggung_jawab,pemimpin_redaksi,badan_hukum,provinsi,alamat,telp,email,website,status,tanggal
TribunAmbon.com,Siber,Omdsmy Novemy Leo,Omdsmy Novemy Leo,Tribun Digital Maluku,Maluku,"Jl. Jend. Sudirman, RT002/RW005, Kel. Pandan Kasturi, Kec. Sirimau, Kota Ambon, Provinsi Maluku",082324651876,l2021tambon@gmail.com,https://ambon.tribunnews.com/,Terverifikasi Administratif dan Faktual,2023-05-26
radarbanjarmasin.jawapos.com,Siber,Muhammad Syarafuddin,Muhammad Syarafuddin,Duta Banua Banjar,Kalimantan Selatan,"Jalan  A Yani km 26,900 Landasan Ulin",0511-4706151,redaksi@radarbanjarmasin.co.id,radarbanjarmasin.jawapos.com,Terverifikasi Administratif dan Faktual,2023-05-16
realitapost.com,Siber,Dian Marfani,Dian Marfani,Realita Media Jaya,Bengkulu,Jalan M Hasan RT 4 RW 2 Kelurahan Pasar Baru Kecamatan Teluk Segara Kota Bengkulu Provinsi Bengkulu,082376262373,Realitapost@gmail.com,http://www.realitapost.com/,Terverifikasi Administratif dan Faktual,2023-05-11
Tribunbengkulu.com,Siber,Deddy Rachmawan,Deddy Rachmawan,Tribun Digital Bengkulu,Bengkulu,Oase Park Jalan Letkol. Santoso No.31 Kelurahan Pasar Melintang Kecamatan Teluk Segara,082371895838,tribunbengkulu31@gmail.com,https://bengkulu.tribunnews.com/,Terverifikasi Administratif dan Faktual,2023-05-11
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Ketik.co.id,Siber,Sudirman,Sudirman,Ketik Media Siber,Jawa Timur,Ruko Jemursari Jl. Jemursari 76 Blok D No. 3 - 4 Surabaya,031-99848102,redaksi@ketik.co.id,https://ketik.co.id/,Terverifikasi Administratif dan Faktual,2023-05-11
ayopalembang.com,Siber,Rahim Asyik Fajar A,RM Solehin,Ayo Media Network,Sumatera Selatan,"Jl. Letkol Ardian, Perum. Nuansa Dago Blok D No.1",07115713277,redaksi.ayopalembang@gmail.com,https://www.ayopalembang.com/,Terverifikasi Administratif dan Faktual,2023-05-11
sinarperbatasan.com,Siber,Alfiana,Alfiana,Aufa Sinar Perbatasan Indonesia,Kepulauan Riau,"Jalan H. Adam Malik (Padang Tulung) RT 003/RW 004, Kelurahan Bandarsyah, Kecamatan Bunguran Timur",082389820222,aufa.sinarperbatasan@gmail.com,sinarperbatasan.com,Terverifikasi Administratif dan Faktual,2023-05-05
Kontan,Cetak,Ardian Taufik Gesuri,Ardian Taufik Gesuri,Grahanusa Mediatama,DKI Jakarta,"Gedung Kompas Gramedia, Lt.3 Unit 2, Jalan Palmerah Selatan No. 20-28, Jakarta, 10270",(021) 50899755,red@kontan.co.id,www.kontan.co.id,Terverifikasi Administratif dan Faktual,2023-05-05
j5newsroom.com,Siber,Saibansah Dardani,Saibansah Dardani,Jlima Newsroom Indonesia,Kepulauan Riau,Perum Nusa Jaya Blok J No. 5 Sungai Panas Batam,082171208791,jlimanewsroom@gmail.com,https://j5newsroom.com/,Terverifikasi Administratif dan Faktual,2023-05-05
Indonesiapost.net,Siber,Voucke Lontaan,Voucke Lontaan,Megatama Jaya Press,Sulawesi Utara,"Jln. TNI, RT/RW : 003/004, Kelurahan Kotamobagu, Kecamatan Kotamobagu Barat, Kota Kotamobagu.",085341880084,indonesiapost2021@gmail.com / kotamobaguonline@gmail.com,indonesiapost.net,Terverifikasi Administratif,2023-04-18
transkepri.com,Siber,Rinaldy Samjaya,Rinaldy Samjaya,Trans Kepri Media,Kepulauan Riau,"Ruko Cahaya Garden, Blok D 19, Kelurahan Sadai, Kecamatan Bengkong, Batam    Provinsi Kepulauan Riau",081378598243,transkepri@gmail.com,www.transkepri.com,Terverifikasi Administratif dan Faktual,2023-04-04
radarinformasinews.com,Siber,Syariah Muhammadin,Syariah Muhammadin,Radar Informasi News,Bengkulu,"Jalan Cimanuk, Gang Ujang, RT 02, RW 01 Kelurahan Jalan Gedang, Kecamatan Gading Cempaka",085273228848,rinews1221@gmail.com,https://radarinformasinews.com/,Terverifikasi Administratif dan Faktual,2023-04-03
ipol.id,Siber,Wilson B. Lumi,Wilson B. Lumi,Azelvi Media Digital,Banten,"Jalan Cirendeu Raya No 32 A RT 05/06, Ciputat Timur",02127813696,azelvimediadigital@gmail.com,https://ipol.id,Terverifikasi Administratif dan Faktual,2023-04-03
mimbaronline.com,Siber,Husni Lubis,Husni Lubis,Penerbitan Media Mimbar,Sumatera Utara,Jalan Tuba IV No. 50 Kecamatan Medan Denai,0811627812,redaksimimbaronline@gmail.com,mimbaronline.com,Terverifikasi Administratif dan Faktual,2023-03-31
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Indo-news.id,Siber,Gunady Mondo,Gunady Mondo,Virzha Nusantara Informasi,Sulawesi Utara,"Jln. Ap. Mokoginta, Lingkungan III ,RT 05, Kelurahan Upai, Kecamatan Kotamobagu Utara, Kota Kotamobagu, Sulawesi Utara",081243980959,dadeputong13@yahoo.com,Indo-news.id,Terverifikasi Administratif,2023-03-30
diskursusnetwork.com,Siber,Kabul Indrawan,Kabul Indrawan,Basawi Genera Inkorpora,DKI Jakarta,"Jl. Pejaten Raya No.Kav. 7, RT.7/RW.5, Pejaten Barat, Pasar Minggu, Kota Adm. Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",081295370992,diskursusnetwork@gmail.com,www.diskursusnetwork.com,Terverifikasi Administratif dan Faktual,2023-03-29
Beritakita1.click,Siber,Hery Gunawan,Hery Gunawan,Sekundang Media Siber,Bengkulu,"Jalan Kalibrantas No. 02, RT 009, RW 003 Kel. Padang Harapan, Kec. Gading Cempaka",082324242473,beritakita1click@gmail.com,https://beritakita1.click/,Terverifikasi Administratif dan Faktual,2023-03-29
Solusi-news.com,Siber,SY. Sopian Efendi,SY. Sopian Efendi,Media Solusi Berita,Bengkulu,Jl Kalibrantas No 02 RT 09 RW 03 Kel. Padang Harapan Kec. Gading Cempaka,085335353584,solusinewsclick@gmail.com,https://www.solusi-news.com/,Terverifikasi Administratif dan Faktual,2023-03-29
nu.or.id,Siber,Ivan Aulia Ahsan,Ivan Aulia Ahsan,Visi Berkah Bangsa,DKI Jakarta,"NU Online, Gedung PBNU lantai 5 Jalan Kramat Raya No. 164 Jakarta Pusat",021-3914013,info@vbb.co.id,https://www.nu.or.id/,Terverifikasi Administratif dan Faktual,2023-03-15
Metro TV,Televisi,Nunung Setiyani,Nunung Setiyani,Media Televisi Indonesia,DKI Jakarta,"Jl Pilar Mas Raya Kav. A-D, Kedoya -Kebon Jeruk Jakarta 11520",021-5830 0077,info.redaksi.@metrotvnews.com,www.mediagroupnetwork.com,Terverifikasi Administratif dan Faktual,2023-03-01
krjogja.com,Siber,Octo Lampito,Octo Lampito,Badan Penerbit  Kedaulatan Rakyat,DI Yogyakarta,Jalan Margo Utomo 40 - 42 Gowongan Jetis Yogyakarta 55232,0274-565685,krjogjadotcom@gmail.com,www.krjogja.com,Terverifikasi Administratif dan Faktual,2023-03-01
kuasa.net,Siber,Ramon D Wowor,Ramon D Wowor,Migi Media Utama,Sulawesi Utara,"Jl. Teuku Umar No.16 RW04, RT08, Kelurahan Motoboi Besar, Kota Kotamobagu, Sulut.",0434-2601775 / 081281080812,gilalomirgi@gmail.com,www.kuasa.net,Terverifikasi Administratif,2023-02-24
betv.disway.id,Siber,Edwin Syahputra,Edwin Syahputra,Bengkulu Ekspress Televisi Online,Bengkulu,Jl. Jati Nomor 129 Simpang Skip Kota Bengkulu,0736348611,betelevisi.online@gmail.com,http://betv.disway.id,Terverifikasi Administratif dan Faktual,2023-02-10
Radio Sonora,Radio,Suroto,Suroto,Radio Sonora,DKI Jakarta,"Gedung Perintis Lantai 5, JL. Kebahagiaan, No 4-14, RT.1/RW.1, Krukut, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830",(021) 6335450,lukas.pramudita@kgradionetwork.com,http://www.sonora.co.id/,Terverifikasi Administratif dan Faktual,2023-02-10
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Matakalteng.com,Siber,H Sutransyah,H Sutransyah,RAJA DIGITAL MEDIA,Kalimantan Tengah,"Jl. Bumi Raya I, Perum. Zahrana, RT.01/RW.01, Kel. Baamang Barat, Kec. Baamang, Sampit",082154558632,beritamatakalteng@gmail.com,www.matakalteng.com,Terverifikasi Administratif dan Faktual,2023-01-31
kutipan.co,Siber,Kasmadi,Kasmadi,Tri Global Kutipan,Kepulauan Riau,"Kawasan Stasiun TVRI, Jalan Merak III, Desa Tanjung Harapan, Kecamatan Singkep – Kabupaten Lingga – Kepulauan Riau",081177766444,kutipan.co@gmail.com,kutipan.co,Terverifikasi Administratif dan Faktual,2023-01-31
lensanusantara.co.id,Siber,Megi Alfajrin,Megi Alfajrin,Lensa Nusantara Multimedia,Jawa Timur,Jalan Kawah Ijen NO. 26,082335423999,arikkurniawan663@gmail.com,https://lensanusantara.co.id/,Terverifikasi Administratif dan Faktual,2023-01-31
Majalah Aula,Cetak,M Subhan,M Subhan,Aula Media Nahdlatul Ulama,Jawa Timur,Jl. Masjid Al-Akbar Timur No.9 Surabaya,0318250091,redaksiaula@gmail.com,majalahaula.id,Terverifikasi Administratif dan Faktual,2023-01-31
Jernih.id,Siber,Wisman Wazir,Wisman Wazir,Jernih Indoenesia Multimedia,Jambi,"Jl. Gang Solo II, RT 37, No.29, Kel. Simpang IV Sipin, Kec. Telanaipura, Kota Jambi",081271328482,jernihindonesia1@gmail.com,https://www.jernih.id/,Terverifikasi Administratif dan Faktual,2023-01-31
dialogindonesia.com,Siber,Adhijaya Prasetyo,Adhijaya Prasetyo,Dialog Indonesia Media,Jawa Barat,"JL. Kalitanjung No 40, Kelurahan Harjamukti Kecamatan Harjamukti. Kota Cirebon",087822978585,dialogindonesiamedia@gmail.com,dialogindonesia.com,Terverifikasi Administratif dan Faktual,2023-01-31
Bolmong.news,Siber,Agustinus Hari,Agustinus Hari,Bolmong Utama Pers,Sulawesi Utara,"Jl. A .P. Mokoginta No. 100 Kelurahan Upai, Kec. Kotamobagu Utara- Kota Kotamobagu",0852-9973-1981,erwinmakalunsenge.kotamobagu@gmail.com,https://bolmong.news/,Terverifikasi Administratif,2023-01-26
vnews.click,Siber,Azli Rais Anduspil,Azli Rais Anduspil,Bintan Jaya Media,Kepulauan Riau,Jalan Sultan Sulaiman No.1 Kelurahan Kampung Bulang Kecamatan Tanjungpinang Timur Kota Tanjungpinang Provinsi Kepulauan Riau,082238219900,red.vnews@gmail.com,www.vnews.click,Terverifikasi Administratif dan Faktual,2023-01-13
mediasatunews.com,Siber,Muhammad Hamzah,Muhammad Hamzah,Aceh Karya Media,Aceh,Jln. Mujahidin II No. 3 Desa Lambaro Skep Kecamatan Kuta Alam Kota Banda Aceh,0811603538,mediasaturedaksi@gmail.com,mediasatunews.com,Terverifikasi Administratif dan Faktual,2023-01-13
DetikManado.com,Siber,Yoseph E Ikanubun,Yoseph E Ikanubun,Manado Global Media,Sulawesi Utara,"Puri Manado Permai, Blok CF-12, Kelurahan Bengkol, Kecamatan Mapanget, Kota Manado, Propinsi Sulawesi Utara",082195108686,detikmanado@gmail.com,www.detikmanado.com,Terverifikasi Administratif dan Faktual,2023-01-12
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Tribun Jateng,Cetak,Ibnu Taufik Juwariyanto,Ibnu Taufik Juwariyanto,Warta Media Nusantara,Jawa Tengah,"JL Menteri Supeno No 30, Mugassari, Semarang Selatan",0248455959,redaksi.tribunjateng@gmail.com,www.tribunjateng.com,Terverifikasi Administratif dan Faktual,2023-01-12
Detiksumsel.com,Siber,Edi Triono,Edi Triono,Numa Global Media,Sumatera Selatan,Jl. Kapten A. Rivai No.263 Kel. 26 Ilir D1 Kec. Ilir Barat 1,07115716840,detiksumselku@gmail.com,https://www.detiksumsel.com/,Terverifikasi Administratif dan Faktual,2023-01-12
Bali TV,Televisi,I Made Sueca,I Made Sueca,Bali Ranadha Televisi,Bali,Jl Kebo Iwa no. 63a denpasar barat,427372,redaksi@balitv.tv,www.balitv.tv,Terverifikasi Administratif dan Faktual,2023-01-12
mycity.co.id,Siber,Idrus Fahmi Shahab,Idrus Fahmi Shahab,Yes Media Group,DKI Jakarta,"Jl. Jambore Blok V1 No.4 RT.6/RW.11, Cibubur, Ciracas, Jakarta Timur, Jakarta",0811111214,mycity.co.id@gmail.com,https://mycity.co.id/,Terverifikasi Administratif dan Faktual,2023-01-12
Beritakepri.id,Siber,Dedi,Dedi,Baginda Inti Media,Kepulauan Riau,"Perumahaan Taman Bukit Asri Blok C No.33 RT.002/ RW. 003 Kelurahan Batu IX,Kecamatan Tanjungpinang Timur, Kota Tanjungpinang, Kepulauan Riau.",081372094056,redaksiberitakepri@gmail.com,www.beritakepri.id,Terverifikasi Administratif,2023-01-09
tribunpontianak.co.id,Siber,Febby Mahendra Putra,Febby Mahendra Putra,Kapuas Media Grafika,Kalimantan Barat,"Jl. Sungai Raya Dalam No. 24A, Desa Sungai Raya, Kec. Sungai Raya",0561725588,redaksi.tribunpontianak@gmail.com,https://pontianak.tribunnews.com/,Terverifikasi Administratif dan Faktual,2023-01-04
BSTV,Televisi,Suratman,Suratman,Budi Seruyan Cable Vision,Kalimantan Tengah,Jl. Brigjend Katamso No. 1 Kuala Pembuang 1 RT.05 RW.02,082254994341,budiseruyan09@gmail.com,-,Terverifikasi Administratif dan Faktual,2023-01-02
Mjnews.Id,Siber,Musriadi Musanif,Musriadi Musanif,Milenial Jurnalis Mediatama,Sumatera Barat,"Jalan Lansano Nomor 1 Lolong Belanti, Kecamatan Padang Utara",+6285263195027,mjnews.id@gmail.com,https://www.mjnews.id,Terverifikasi Administratif dan Faktual,2023-01-02
bonepos.com,Siber,A Dedhy Sendhy,A Dedhy Sendhy,Cipta Indomedia Mandiri,Sulawesi Selatan,"Jl. Toddopuli Raya Blok L No.1-2, (Warkop 115 Lt 2) Kelurahan Paropo, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan",088293704085,boneposnews@gmail.com,www.bonepos.com,Terverifikasi Administratif dan Faktual,2022-12-30
Kepriupdate.com,Siber,Parna Edison Simarmata,Parna Edison Simarmata,Kepri Media Nusantara,Kepulauan Riau,Jl.R Suprapto Komplek Pertokoan MKGR Blok Sugandi A No. 1-2 Kibing Batuaji,085364567267,kepriupdatecom@yahoo.com,www.kepriupdate.com,Terverifikasi Administratif,2022-12-30
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Baubau post,Cetak,Rahman Ismail,Rahman Ismail,Faren Grafika,Sulawesi Tenggara,"Jl. Raya Palagimata, BTN Palagimata, Blok K-L Nomor 01",081243148182; WA: 085243183606,baubaupostt2019@gmail.com,www.baubaupost.com,Terverifikasi Administratif dan Faktual,2022-12-30
Radar Bandung,Cetak,Fahmi Akbar,Fahmi Akbar,Radar Bandung Intermedia,Jawa Barat,Jl. Ibrahim Adjie No. 95,022-7238058,rdrbdg122020@gmail.com,https://www.radarbandung.id/,Terverifikasi Administratif dan Faktual,2022-12-30
radarbanyumas.disway.id,Siber,Yudhis Fajar Kurniawan,Yudhis Fajar Kurniawan,Wahana Semesta Banyumas,Jawa Tengah,Jl. Soepardjo Rustam No 88 Sokaraja - Banyumas,(0281) 6441267,radarbanyumasnetwork@gmail.com,radarbanyumas.co.id,Terverifikasi Administratif dan Faktual,2022-12-30
jawapos.com,Siber,Dhimas Ginanjar Satria Perdana,Dhimas Ginanjar Satria Perdana,Jawa Pos Group Multimedia,DKI Jakarta,Lantai 10 Graha Pena Jawa Pos,021-53699659,info@jawapos.com,https://jawapos.com,Terverifikasi Administratif dan Faktual,2022-12-30
republika.co.id,Siber,Irfan Junaidi,Irfan Junaidi,Republika Media Mandiri,DKI Jakarta,"Jl. Buncit Raya No. 37 Pejaten Barat, Pasar Minggu, Jakarta Selatan",+6221 7803747,arul@republika.co.id,https://www.republika.co.id/,Terverifikasi Administratif dan Faktual,2022-12-30
kaltengekspres.com,Siber,Hairil Supriadi,Hairil Supriadi,Kalteng Ekspres Prima Mandiri,Kalimantan Tengah,"Jl. Malijo, Pangkalan Bun, Kabupaten Kotawaringin Barat, Provinsi Kalimantan Tengah",081250997986 - (0532) 6611407,redaksike@gmail.com,https://kaltengekspres.com,Terverifikasi Administratif dan Faktual,2022-12-29
inilah.com,Siber,Ghiok Riswoto,Sukarya Wiguna,Indonesia News Center,DKI Jakarta,"Jl. Rimba No.42, RT.7/RW.4, Cipete Utara, Kec. Kby. Baru",(021) 27095509,redaksi@inilah.com,inilah.com,Terverifikasi Administratif dan Faktual,2022-12-29
serayunews.com,Siber,A. Nurkholis,A. Nurkholis,Serayu Digital Media,Jawa Tengah,JL Kinibalu No 44 Cilacap,02825393808,newsserayu@gmail.com,Serayunews.com,Terverifikasi Administratif dan Faktual,2022-12-23
Infokini.news,Siber,Margareth Feybe Lumanauw,Margareth Feybe Lumanauw,Biovio Media Indonesia,Sulawesi Utara,Jln. TG Manoppo RT/RW 003/006. Kelurahan Motoboi Besar. Kecamatan Kotamobagu Timur.,082189209459,newsinfokini@gmail.com,https://infokini.news,Terverifikasi Administratif,2022-12-23
jatim.tribunnews.com,Siber,Mujib Anwar,Tri Mulyono,Tribun Digital Jatim,Jawa Timur,Jl Rungkut Industri III No 68-70 Surabaya,031-8419000,tribunjatimdotcom@gmail.com,https://jatim.tribunnews.com,Terverifikasi Administratif dan Faktual,2022-12-20
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Magelang Ekspres,Cetak,Nur Imron Rosadi,Nur Imron Rosadi,Wahana Semesta Magelang,Jawa Tengah,Jl. A. Yani No. 348 Magelang,0293 310846,magelangekspres@gmail.com,www.magelangekspres.com,Terverifikasi Administratif dan Faktual,2022-12-17
oku timur pos,Cetak,Usman,Usman,Citra Ogan Komering Ulu Media,Sumatera Selatan,Jl. Merdeka Rt/Rw 01/01 Kel. Sungai Tuha Jaya,0735482300,okutimurpos@gmail.com,www.okutimurpos.com,Terverifikasi Administratif dan Faktual,2022-12-16
gotvnews.co.id,Siber,Suherlan,Suherlan,Gonet media berkah,Kepulauan Riau,"Jl. Gatot Subroto No. 20, Km. 5 Bawah",085264665599,gonetmedia11@gmail.com,www.gotvnews.co.id,Terverifikasi Administratif dan Faktual,2022-12-16
Radio Azam,Radio,Khairul Amri,Khairul Amri,Radio Azam Mitra Umat,Kepulauan Riau,Jalan Angkasa Bukit Sidomulyo Kecamatan Karimun Kabupaten Karimun,0777324667,radioazamfm@yahoo.com,radioazam.id,Terverifikasi Administratif dan Faktual,2022-12-15
Suara Cirebon,Cetak,Agus Arifin,Agus Arifin,Suara Cirebon Inti Media,Jawa Barat,"Jalan Phyruz I Nomor 4, Perum Taman Kemantren, Kelurahan Kemantren, Kecamatan Sumber",(0231) 8824397 - 085223944430 (WA),suaracirebon01@gmail.com,suaracirebon.com,Terverifikasi Administratif dan Faktual,2022-12-15
gemasulawesi.com,Siber,Ishak Arif Badrun,Ishak Arif Badrun,Gema Sulawesi Media Parigi,Sulawesi Tengah,"Jl Kampali, Kelurahan Kampal, Kecamatan Parigi Kabupaten Parigi Moutong Provinsi Sulawesi Tengah Kode Pos 94471 Contact Office : (0450) 2325678",081342196266/04502325678,gemasulawesionline@gmail.com,gemasulawesi.com,Terverifikasi Administratif dan Faktual,2022-12-15
banjarmasinpost.co.id,Siber,Rachmat Hidayat,Rachmat Hidayat,Grafika Wangi Kalimantan,Kalimantan Selatan,"Gedung Hj Djok Mentaya, Jl AS Musyaffa No16 Banjarmasin, Kalimantan Selatan, 70111",05113354370,redaksi@banjarmasinpost.co.id,www.banjarmasinpost.co.id,Terverifikasi Administratif dan Faktual,2022-12-15
HabaNusantara.net,Siber,Sudirman Mansyur,Sudirman Mansyur,Haba Nusantara Iffatmedia,Aceh,"Jl. Tgk Adee Utama No., Gampong Doy - Kecamatan Ulee Kareng - Banda Aceh",085277956750,redaksihabanusantara@gmail.com,habanusantara.net,Terverifikasi Administratif dan Faktual,2022-12-15
1tulah.com,Siber,Melkianus HE,Melkianus HE,Itulah Media Bersama,Kalimantan Tengah,"Jln. Belakang Stadion No 19 Rt 11 Kelurahan lanjas, Muara Teweh",083143525464,1tulah.website@gmail.com,https://www.1tulah.com,Terverifikasi Administratif dan Faktual,2022-12-15
SSTV,Televisi,Vinsensius,Vinsensius,Media Sampit Televisi,Kalimantan Tengah,Jl. Tidar I No.1 Sampit,0531-32262,sstv43@yahoo.com,sstv.co.id,Terverifikasi Administratif dan Faktual,2022-12-13
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
sinarpidie.co,Siber,Firdaus,Firdaus,Sinar Media Aksara,Aceh,"Jalan Prof. A. Majid Ibrahim Nomor 13 Sigli-Pidie, Kel. Lampeudeu Baroh",085370136430,sinarpidie@gmail.com,sinarpidie.co,Terverifikasi Administratif dan Faktual,2022-12-12
Koranbanjar.net,Siber,Sandy Firly,Sandy Firly,Media Banjar Grup,Kalimantan Selatan,"Jalan Guntung Manggis No. 106 RT. 13/ RW. 02 Kelurahan Guntung Manggis, Kecamatan Landasan Ulin, Kota Banjarbaru, Provinsi Kalimantan Selatan",081292561237,koranbanjar2@gmail.com,www.koranbanjar.net,Terverifikasi Administratif dan Faktual,2022-12-13
Radar Banyumas,Cetak,Yudhis Fajar Kurniawan,Yudhis Fajar Kurniawan,Wahana Semesta Banyumas,Jawa Tengah,Jl Soepardjo Roestam No 88 Sokaraja Kulon,0281 6441267,radarbanyumas2003@yahoo.com,radarbanyumas.co.id,Terverifikasi Administratif dan Faktual,2022-12-13
Metro Siantar,Cetak,Dame Ambarita,Eva Wahyuni,Siantar Media Pers,Sumatera Utara,Jalan Sangnawaluh Komp. Megaland Blok A No 24,0622-7553511,metrosiantar@yahoo.com,faseberita.id,Terverifikasi Administratif dan Faktual,2022-12-13
kliktimes.com,Siber,Bagus Ary Wicaksono,Bagus Ary Wicaksono,Kaiya Media Legacy,Jawa Timur,Perumahan Griya Shanta Eksekutif Blok M 352,0341 4386812,redaksi@kliktimes.com,www.kliktimes.com,Terverifikasi Administratif dan Faktual,2022-12-13
Matakepri.co.id,Siber,Agus Bagjana,Agus Bagjana,Cakrawala Mata Kepri Media,Kepulauan Riau,"Komplek Pasar Angkasa Blok CC Nomor 3, RT 003, RW 008, Kelurahan Batu Selicin, Kecamatan Lubuk Baja, Kota Batam, Provinsi Kepulauan Riau, Kode Pos 29444",081365383832,redaksimatakepri@gmail.com,www.matakepri.co.id,Terverifikasi Administratif,2022-12-01
Surabaya Pagi,Cetak,"H. Raditya Mohammer Khadaffi, SH.","H. Raditya Mohammer Khadaffi, SH.",Surabaya Sore,Jawa Timur,"Kupang Baru 1 No. 16-18, Sonokwijenan, Sukomanunggal",0317328808,hsurabayapagi@gmail.com,www.surabayapagi.com,Terverifikasi Administratif,2022-12-01
faktakalteng.com,Siber,Bayu Kharisma Nugraha,Bayu Kharisma Nugraha,Jagad Media Perkasa,Kalimantan Tengah,Piere Tendean Kelurahan Kuala Pembuang I Kecamatan Seruyan Hilir,0896-8751-2442/082354675777,hendri.sampit@yahoo.com,https://faktakalteng.com/,Terverifikasi Administratif,2022-12-01
AcehEkspres.com,Siber,T. Haris Fadhillah,T. Haris Fadhillah,Aceh Multimedia Pers,Aceh,"Jalan Nasional Meulaboh-Tapaktuan, Gampong (Desa) Ujong Patihah, Kecamatan Kuala, Kabupaten Nagan Raya",08116818468,redaksiacehekspres@gmail.com,https://acehekspres.com,Terverifikasi Administratif dan Faktual,2022-09-17
beritabersatu.com,Siber,Asdar Palewai,Asdar Palewai,Alim Pratama Intermedia,Sulawesi Selatan,Jl. Persatuan Raya No. 11 Kelurahan Biringere Kecamatan Sinjai Utara,082347776839,redaksiberitabersatu.com@gmail.com,www.beritabersatu.com,Terverifikasi Administratif dan Faktual,2022-09-17
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Akurasi.id,Siber,Rachman Wahid,Rachman Wahid,Karya Grafika Kaltim,Kalimantan Timur,Lantai 2 Jalan HM.Ardans No 6 RT 23 Kelurahaan Satimpo Kecamatan Bontang Selatan Kode Pos 75324,081346593393,akurasi2019@gmail.com,www.akurasi.id,Terverifikasi Administratif dan Faktual,2022-09-17
Derap Kalimantan,Cetak,Irwansyah,Irwansyah,Adiva Putri Kalimantan,Kalimantan Selatan,Jl Mesjid Jami RT.04 No.09 Kelurahan Surgi Mufti Banjarmasin Utara 70121,0511 3367763,rusdiroyan@gmail.com,www.derapkalimantan.com,Terverifikasi Administratif dan Faktual,2022-09-17
Harian Radar Selatan,Cetak,Sunarti Sain,Sunarti Sain,Radar Bulukumba,Sulawesi Selatan,"Jl. Kusuma Bangsa, Kelurahan caile, Kecamatan Ujung Bulu, Bulukumba",0413 (84311),radarblk@gmail.com,radarselatan.fajar.co.id,Terverifikasi Administratif dan Faktual,2022-09-17
Bolmongraya.co,Siber,Asrar Jusuf,Asrar Jusuf,Media Bolmong Raya,Sulawesi Utara,"Jl AP Mokoginta, Desa Pontodon, Kota Kotamobagu, Provinsi Sulawesi Utara",08114317460,Bolmongraya99@gmail.com,https://bolmongraya.co,Terverifikasi Administratif dan Faktual,2022-06-23
Bolmongpost.com,Siber,Satrin Lasama`,Satrin Lasama`,Bolmong Post Cipta Parasana,Sulawesi Utara,"Jalan Diponegoro, Kelurahan Biga, Kecamatan Kotamobagu Utara",0811434886 -085299938086,redaksibolmongpost@gmail.com,www.bolmongpost.com,Terverifikasi Administratif dan Faktual,2022-06-23
Totabuan.news,Siber,Fernandus Yusi Adam,Fernandus Yusi Adam,Totabuan Pers Indonesia,Sulawesi Utara,"Jln. TG Manoppo RT/RW 003/006. Kelurahan Motoboi Besar. Kecamatan Kotamobagu Timur. Kota Kotamobagu – Sulawesi Utara, Kode Pos 95719",085360500666,totabuanews@gmail.com,https://totabuan.news,Terverifikasi Administratif dan Faktual,2022-06-23
sulawesion.com,Siber,Supardi Bado,Supardi Bado,Sahabat Sulawesi Online,Sulawesi Utara,"Jalan Losik Lobud, Kopandakan 1, Kecamatan Kotamobagu Selatan, Kota Kotamobagu",085240535881,redaksisulawesion01@gmail.com,www.sulawesion.com,Terverifikasi Administratif dan Faktual,2022-06-23
infototabuan.com,Siber,Junius Dilapanga,Junius Dilapanga,Info Totabuan Safa Eyato,Sulawesi Utara,"Jl. Amal, Kelurahan Mogolaing, Kecamatan Kotamobagu Barat, Kotamobagu, Sulut",082394946262,friyaneyato@gmail.com,www.infototabuan.com,Terverifikasi Administratif dan Faktual,2022-06-23
Liputanbmr.com,Siber,Voucke Lontaan,Voucke Lontaan,Surya Pers Indonesiaku,Sulawesi Utara,"Kel. Gogagoman, Kec. Kotamobagu Barat Kota Kotamobagu, Sulawesi Utara - 95715",081340514969,windiartoentebone12@gmail.com,liputanbmr.com,Terverifikasi Administratif dan Faktual,2022-06-23
Detotabuan.com,Siber,Faruk Langaru,Faruk Langaru,Detotabuan Cipta Media,Sulawesi Utara,"Jl. 19 Desember 1945, Kelurahan Motoboi Kecil, Kecamatan Kotamobagu Selatan",085256950808,detotabuan@gmail.com,https://detotabuan.com/,Terverifikasi Administratif dan Faktual,2022-06-23
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Mediatotabuan.co,Siber,Wenseslaus Leriando Kambey,Wenseslaus Leriando Kambey,Media Totabuan Indonesia,Sulawesi Utara,"Jl Cempaka, Kelurahan Mogolaing, Kecamatan Kotamobagu Barat, Kota Kotamobagu",082223696801,fahmiggobel@gmail.com,www.mediatotabuan.co,Terverifikasi Administratif dan Faktual,2022-06-23
